EAN|LEVEL1|LEVEL2|LEVEL3|LEVEL4|LEVEL5
2004363094100|TEXTILE|TEXTILE|CHAUSSANT FEMME|PANTOUFLES FEMME|
2004363094209|TEXTILE|TEXTILE|CHAUSSANT FEMME|PANTOUFLES FEMME|
2006050147885|FRAIS LS|FRUITS ET LEGUMES|FRUITS FRAIS|FRUITS FRAIS|
2010000040942|FRAIS LS|FRUITS ET LEGUMES|LEGUMES FRAIS|LEGUMES FRAIS|
2010005000170|FRAIS LS|FRUITS ET LEGUMES|LEGUMES FRAIS|LEGUMES FRAIS|
2010005001061|FRAIS LS|FRUITS ET LEGUMES|LEGUMES FRAIS|LEGUMES FRAIS|
2010005001580|FRAIS LS|FRUITS ET LEGUMES|LEGUMES FRAIS|LEGUMES FRAIS|
2010005003324|FRAIS LS|FRUITS ET LEGUMES|FRUITS FRAIS|FRUITS FRAIS|
2061083220028|TEXTILE|TEXTILE|CONFECTION FEMME|PANTALON / SHORT  (F)|
2061083220035|TEXTILE|TEXTILE|CONFECTION FEMME|PANTALON / SHORT  (F)|
2061083220042|TEXTILE|TEXTILE|CONFECTION FEMME|PANTALON / SHORT  (F)|
2061083220059|TEXTILE|TEXTILE|CONFECTION FEMME|PANTALON / SHORT  (F)|
2061083220066|TEXTILE|TEXTILE|CONFECTION FEMME|PANTALON / SHORT  (F)|
2061137970015|TEXTILE|TEXTILE|COLLANTS / MI-BAS|COLLANTS|
2061137970022|TEXTILE|TEXTILE|COLLANTS / MI-BAS|COLLANTS|
2061137970039|TEXTILE|TEXTILE|COLLANTS / MI-BAS|COLLANTS|
2061137970046|TEXTILE|TEXTILE|COLLANTS / MI-BAS|COLLANTS|
2061967180035|TEXTILE|TEXTILE|COLLANTS / MI-BAS|COLLANTS|
2061967180042|TEXTILE|TEXTILE|COLLANTS / MI-BAS|COLLANTS|
2062303473149|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES/COLLANTS ENFANT|
2062303473583|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES/COLLANTS ENFANT|
2062303483148|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES/COLLANTS ENFANT|
2062303483582|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES/COLLANTS ENFANT|
2062304943504|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES FEMME|
2062304953503|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES FEMME|
2062304953800|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES FEMME|
2062304973501|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES FEMME|
2062304973808|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES FEMME|
2062305123929|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES HOMME|
2062305124360|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES HOMME|
2062305133928|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES HOMME|
2062305134369|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES HOMME|
2062345113805|TEXTILE|TEXTILE|CONFECTION HOMME|PANTALON / SHORT  (H)|
2062345114000|TEXTILE|TEXTILE|CONFECTION HOMME|PANTALON / SHORT  (H)|
2062345114208|TEXTILE|TEXTILE|CONFECTION HOMME|PANTALON / SHORT  (H)|
2062345114406|TEXTILE|TEXTILE|CONFECTION HOMME|PANTALON / SHORT  (H)|
2062345114604|TEXTILE|TEXTILE|CONFECTION HOMME|PANTALON / SHORT  (H)|
2062345114802|TEXTILE|TEXTILE|CONFECTION HOMME|PANTALON / SHORT  (H)|
2062345115007|TEXTILE|TEXTILE|CONFECTION HOMME|PANTALON / SHORT  (H)|
2062345124009|TEXTILE|TEXTILE|CONFECTION HOMME|PANTALON / SHORT  (H)|
2062345124207|TEXTILE|TEXTILE|CONFECTION HOMME|PANTALON / SHORT  (H)|
2062381783925|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES HOMME|
2062392670016|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062392670023|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062392670030|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062392670047|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062392670054|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062392680015|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062392680022|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062392680039|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062392680046|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062392680053|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062392690014|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062392690021|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062392690038|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062392690045|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062392690052|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458020854|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458021851|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458021905|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458021950|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458022858|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458022902|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458022957|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458023008|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458023909|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458023954|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458024005|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458040852|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458041859|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458041903|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458041958|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458042856|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458042900|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458042955|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458043006|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458043907|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458043952|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458044003|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458050851|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458051858|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458051902|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458051957|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458052855|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458052954|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458053005|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458053906|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458053951|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062458054002|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062560090028|TEXTILE|TEXTILE|CONFECTION FEMME|NUIT  (F)|
2062560090035|TEXTILE|TEXTILE|CONFECTION FEMME|NUIT  (F)|
2062560090042|TEXTILE|TEXTILE|CONFECTION FEMME|NUIT  (F)|
2062560090059|TEXTILE|TEXTILE|CONFECTION FEMME|NUIT  (F)|
2062560090066|TEXTILE|TEXTILE|CONFECTION FEMME|NUIT  (F)|
2062603943922|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES HOMME|
2062603944363|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES HOMME|
2062603983928|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES/COLLANTS ENFANT|
2062604013921|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES HOMME|
2062604014362|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES HOMME|
2062715921801|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES/COLLANTS LAYETTE|
2062715922136|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES/COLLANTS LAYETTE|
2062715922464|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES/COLLANTS LAYETTE|
2062721941022|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS ENF FILLE|
2062721941244|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS ENF FILLE|
2062721941466|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS ENF FILLE|
2062721951021|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS ENF FILLE|
2062721951243|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS ENF FILLE|
2062721951465|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS ENF FILLE|
2062721961020|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS ENF FILLE|
2062721961242|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS ENF FILLE|
2062721961464|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS ENF FILLE|
2062721971029|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS ENF FILLE|
2062721971241|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS ENF FILLE|
2062721971463|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS ENF FILLE|
2062722020801|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS ENF GARCON|
2062722021020|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS ENF GARCON|
2062722021242|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS ENF GARCON|
2062722021464|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS ENF GARCON|
2062722030800|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS ENF GARCON|
2062722031029|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS ENF GARCON|
2062722031241|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS ENF GARCON|
2062722031463|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS ENF GARCON|
2062723090025|TEXTILE|TEXTILE|CONFECTION FEMME|NUIT  (F)|
2062723090032|TEXTILE|TEXTILE|CONFECTION FEMME|NUIT  (F)|
2062723090049|TEXTILE|TEXTILE|CONFECTION FEMME|NUIT  (F)|
2062723090056|TEXTILE|TEXTILE|CONFECTION FEMME|NUIT  (F)|
2062723090063|TEXTILE|TEXTILE|CONFECTION FEMME|NUIT  (F)|
2062724020236|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS ENF GARCON|
2062726090022|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS HOMME|
2062726090039|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS HOMME|
2062726090046|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS HOMME|
2062726090053|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS HOMME|
2062726090060|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS HOMME|
2062769141026|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS JUNIOR FILLE|
2062769141248|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS JUNIOR FILLE|
2062769141460|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS JUNIOR FILLE|
2062769151025|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS JUNIOR FILLE|
2062769151247|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS JUNIOR FILLE|
2062769151469|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS JUNIOR FILLE|
2062769161246|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS JUNIOR FILLE|
2062769161468|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS JUNIOR FILLE|
2062769171023|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS JUNIOR FILLE|
2062769171245|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS JUNIOR FILLE|
2062769171467|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS JUNIOR FILLE|
2062769191465|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS JUNIOR FILLE|
2062769211026|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS JUNIOR FILLE|
2062769211460|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS JUNIOR FILLE|
2062770201245|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS ENF FILLE|
2062770201467|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS ENF FILLE|
2062770211244|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS ENF FILLE|
2062770211466|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS ENF FILLE|
2062773280025|TEXTILE|TEXTILE|CONFECTION HOMME|NUIT  (H)|
2062773280032|TEXTILE|TEXTILE|CONFECTION HOMME|NUIT  (H)|
2062773280049|TEXTILE|TEXTILE|CONFECTION HOMME|NUIT  (H)|
2062773280056|TEXTILE|TEXTILE|CONFECTION HOMME|NUIT  (H)|
2062773280063|TEXTILE|TEXTILE|CONFECTION HOMME|NUIT  (H)|
2062773290024|TEXTILE|TEXTILE|CONFECTION HOMME|NUIT  (H)|
2062773290031|TEXTILE|TEXTILE|CONFECTION HOMME|NUIT  (H)|
2062773290048|TEXTILE|TEXTILE|CONFECTION HOMME|NUIT  (H)|
2062773290055|TEXTILE|TEXTILE|CONFECTION HOMME|NUIT  (H)|
2062773290062|TEXTILE|TEXTILE|CONFECTION HOMME|NUIT  (H)|
2062775550027|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062775550034|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062775550041|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062775550058|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062778050029|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS HOMME|
2062778050036|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS HOMME|
2062778050043|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS HOMME|
2062778050050|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS HOMME|
2062778050067|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS HOMME|
2062797543144|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES/COLLANTS ENFANT|
2062797903146|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES/COLLANTS ENFANT|
2062797912704|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES/COLLANTS ENFANT|
2062797913145|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES/COLLANTS ENFANT|
2062797913589|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES/COLLANTS ENFANT|
2062798803506|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES FEMME|
2062798813802|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES FEMME|
2062801212462|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES/COLLANTS ENFANT|
2062801212707|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES/COLLANTS ENFANT|
2062801213148|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES/COLLANTS ENFANT|
2062801213582|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES/COLLANTS ENFANT|
2062801222706|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES/COLLANTS ENFANT|
2062801223147|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES/COLLANTS ENFANT|
2062801223581|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES/COLLANTS ENFANT|
2062801243589|TEXTILE|TEXTILE|CHAUSSETTES/COLLANTS|CHAUSSETTES/COLLANTS ENFANT|
2062808370028|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062808370035|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062808370042|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062808370059|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062808370066|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062809350029|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS HOMME|
2062809350036|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS HOMME|
2062809350043|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS HOMME|
2062809350050|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS HOMME|
2062809350067|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS HOMME|
2062809964608|TEXTILE|TEXTILE|CONFECTION FEMME|PANTALON / SHORT  (F)|
2062811123802|TEXTILE|TEXTILE|CONFECTION FEMME|PANTALON / SHORT  (F)|
2062811124007|TEXTILE|TEXTILE|CONFECTION FEMME|PANTALON / SHORT  (F)|
2062811124205|TEXTILE|TEXTILE|CONFECTION FEMME|PANTALON / SHORT  (F)|
2062811124403|TEXTILE|TEXTILE|CONFECTION FEMME|PANTALON / SHORT  (F)|
2062811124601|TEXTILE|TEXTILE|CONFECTION FEMME|PANTALON / SHORT  (F)|
2062811133801|TEXTILE|TEXTILE|CONFECTION FEMME|PANTALON / SHORT  (F)|
2062811134006|TEXTILE|TEXTILE|CONFECTION FEMME|PANTALON / SHORT  (F)|
2062811134204|TEXTILE|TEXTILE|CONFECTION FEMME|PANTALON / SHORT  (F)|
2062811134402|TEXTILE|TEXTILE|CONFECTION FEMME|PANTALON / SHORT  (F)|
2062811183608|TEXTILE|TEXTILE|CONFECTION FEMME|PANTALON / SHORT  (F)|
2062811184001|TEXTILE|TEXTILE|CONFECTION FEMME|PANTALON / SHORT  (F)|
2062811184209|TEXTILE|TEXTILE|CONFECTION FEMME|PANTALON / SHORT  (F)|
2062811184407|TEXTILE|TEXTILE|CONFECTION FEMME|PANTALON / SHORT  (F)|
2062811184605|TEXTILE|TEXTILE|CONFECTION FEMME|PANTALON / SHORT  (F)|
2062811830021|TEXTILE|TEXTILE|CONFECTION HOMME|NUIT  (H)|
2062811830038|TEXTILE|TEXTILE|CONFECTION HOMME|NUIT  (H)|
2062811830045|TEXTILE|TEXTILE|CONFECTION HOMME|NUIT  (H)|
2062811830052|TEXTILE|TEXTILE|CONFECTION HOMME|NUIT  (H)|
2062811830069|TEXTILE|TEXTILE|CONFECTION HOMME|NUIT  (H)|
2062811870027|TEXTILE|TEXTILE|CONFECTION HOMME|NUIT  (H)|
2062811870034|TEXTILE|TEXTILE|CONFECTION HOMME|NUIT  (H)|
2062811870041|TEXTILE|TEXTILE|CONFECTION HOMME|NUIT  (H)|
2062811870058|TEXTILE|TEXTILE|CONFECTION HOMME|NUIT  (H)|
2062811870065|TEXTILE|TEXTILE|CONFECTION HOMME|NUIT  (H)|
2062846180016|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062846180023|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062846180030|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062846180047|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062846180054|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062846200011|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062846200028|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062846200035|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062846200042|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062846200059|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062846220019|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062846220026|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062846220033|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062846220040|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062846220057|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062846240017|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062846240024|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062846240031|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062846240048|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2062846240055|TEXTILE|TEXTILE|SOUS VETEMENTS|SOUS VETEMENTS FEMME|
2070000002715|FRAIS LS|FLEURS ET PLANTES|PLANTES D EXTERIEUR||
2070000002739|FRAIS LS|FLEURS ET PLANTES|PLANTES D EXTERIEUR|PLANTES D EXTERIEUR|
2096270000000|FRAIS TRAD|PRODUITS DE LA MER TRAD|PRODUITS DE LA MER  TRAD|POISSON|
2125320000000|FRAIS LS|BOUCHERIE LS|ELABORES SAUCISSERIE LS|PRODUITS ELABORES LS|
2125330000000|FRAIS LS|BOUCHERIE LS|ELABORES SAUCISSERIE LS|PRODUITS ELABORES LS|
2125700000000|FRAIS LS|BOUCHERIE LS|ELABORES SAUCISSERIE LS|PRODUITS ELABORES LS|
2125750000000|FRAIS LS|BOUCHERIE LS|ELABORES SAUCISSERIE LS|PRODUITS ELABORES LS|
2131293000000|FRAIS TRAD|BOUCHERIE / VOLAILLE TRAD|VOLAILLES TR|PIECE ENTIERE|
2149889000000|FRAIS TRAD|FROMAGE TRAD|FROMAGE COUPE|PATES PRESSEES|
2189427000000|FRAIS LS|VOLAILLE LS|VOLAILLES LS|DECOUPE DE POULET|
2189428000000|FRAIS LS|VOLAILLE LS|VOLAILLES LS|DECOUPE DE POULET|
2195382000000|FRAIS LS|VOLAILLE LS|VOLAILLES LS|DECOUPE DE POULET|
2200987000000|FRAIS LS|VOLAILLE LS|VOLAILLES LS|POULET PIECE ENTIERE|
2202063000000|FRAIS LS|VOLAILLE LS|VOLAILLES LS|AUTRES PIECES ENTIERES|
2203983000000|FRAIS TRAD|BOUCHERIE / VOLAILLE TRAD|VOLAILLES TR||
2203998000000|FRAIS TRAD|BOUCHERIE / VOLAILLE TRAD|VOLAILLES TR||
2205344000000|FRAIS LS|VOLAILLE LS|VOLAILLES LS|DECOUPE DE DINDE|
2205346000000|FRAIS LS|VOLAILLE LS|VOLAILLES LS|DECOUPE DE POULET|
2205379000000|FRAIS LS|BOUCHERIE LS|ELABORES SAUCISSERIE LS|GIBIER BOUCHERIE LS|
2205833000000|FRAIS LS|CHARCUTERIE TRAITEUR LS|TRAITEUR LS||
2205850000000|FRAIS LS|VOLAILLE LS|VOLAILLES LS|AUTRES DECOUPES|
2208667000000|FRAIS LS|CHARCUTERIE TRAITEUR LS|TRAITEUR LS||
2211322000000|FRAIS LS|BOUCHERIE LS|ELABORES SAUCISSERIE LS|PRODUITS ELABORES LS|
2212144000000|FRAIS LS|BOUCHERIE LS|ELABORES SAUCISSERIE LS|PRODUITS ELABORES LS|
2212251000000|FRAIS TRAD|CHARCUTERIE TRAD|CHARCUTERIE FE INDUSTRIEL|ROTI CUIT|
2212252000000|FRAIS TRAD|CHARCUTERIE TRAD|CHARCUTERIE FE INDUSTRIEL|AUTRE CHARCUTERIE CUITE|
2212850000000|FRAIS LS|VOLAILLE LS|VOLAILLES LS|PRODUITS ELABORES|
2212868000000|FRAIS LS|VOLAILLE LS|VOLAILLES LS|POULET PIECE ENTIERE|
2212907000000|FRAIS TRAD|CHARCUTERIE TRAD|CHARCUTERIE FE INDUSTRIEL|JAMBON CUIT|
2214031000000|FRAIS LS|VOLAILLE LS|VOLAILLES LS|DECOUPE DE DINDE|
2214032000000|FRAIS LS|VOLAILLE LS|VOLAILLES LS|DECOUPE DE DINDE|
2214033000000|FRAIS LS|VOLAILLE LS|VOLAILLES LS|DECOUPE DE DINDE|
2215183000000|FRAIS TRAD|FROMAGE TRAD|FROMAGE FRAIS EMBALLE IND|PATES PRESSEES|
2215185000000|FRAIS TRAD|FROMAGE TRAD|FROMAGE FRAIS EMBALLE IND|PATES PRESSEES|
2215193000000|FRAIS TRAD|FROMAGE TRAD|FROMAGE FRAIS EMBALLE IND|PATES PRESSEES|
2216334000000|FRAIS LS|VOLAILLE LS|VOLAILLES LS|PRODUITS ELABORES|
2218220000000|FRAIS TRAD|FROMAGE TRAD|FROMAGE FRAIS EMBALLE IND|PATES PRESSEES|
2218300000000|FRAIS TRAD|FROMAGE TRAD|FROMAGE FRAIS EMBALLE IND|PATES PRESSEES|
2218587000000|FRAIS TRAD|FROMAGE TRAD|FROMAGE FRAIS EMBALLE IND|PATES PRESSEES|
